name,link,upvotes,downvotes,year,order,total_votes,vote_diff,vote_diff_normalized,ratio,updated_order,inverse_order,bayes
Hypnotic Poison Eau Sensuelle Dior (female) ~ 2010,https://www.fragrantica.com/perfume/Dior/Hypnotic-Poison-Eau-Sensuelle-9600.html,50,49,2010,98,99,1,0.11590296495956874,0.5050505050505051,98.0,448.0,0.47580645161290325
Changing Constance Penhaligon's (female) ~ 2018,https://www.fragrantica.com/perfume/Penhaligon-s/Changing-Constance-50256.html,36,23,2018,99,59,13,0.14824797843665768,0.6101694915254238,99.0,447.0,0.5357142857142857
Libre Yves Saint Laurent (female) ~ 2019,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Libre-56077.html,50,51,2019,100,101,-1,0.1105121293800539,0.49504950495049505,100.0,446.0,0.46825396825396826
Vanille West Indies Ligne St. Barth (female) ~ 2007,https://www.fragrantica.com/perfume/Ligne-St-Barth/Vanille-West-Indies-12777.html,37,27,2007,101,64,10,0.14016172506738545,0.578125,101.0,445.0,0.5168539325842697
Gaultier 2 Jean Paul Gaultier (unisex) ~ 2005,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Gaultier-2-433.html,42,38,2005,102,80,4,0.12398921832884097,0.525,102.0,444.0,0.4857142857142857
Armani Privé Bleu Turquoise Giorgio Armani (unisex) ~ 2018,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Prive-Bleu-Turquoise-48060.html,43,40,2018,103,83,3,0.12129380053908356,0.5180722891566265,103.0,443.0,0.48148148148148145
Fresh Cream Warm Cashmere Philosophy (unisex) ~ 2018,https://www.fragrantica.com/perfume/Philosophy/Fresh-Cream-Warm-Cashmere-49834.html,40,34,2018,104,74,6,0.1293800539083558,0.5405405405405406,104.0,442.0,0.494949494949495
Vanilla Fields Coty (female) ~ 1993,https://www.fragrantica.com/perfume/Coty/Vanilla-Fields-6029.html,38,31,1993,105,69,7,0.1320754716981132,0.5507246376811594,105.0,441.0,0.5
Hanae Mori Hanae Mori (female) ~ 1996,https://www.fragrantica.com/perfume/Hanae-Mori/Hanae-Mori-1577.html,37,30,1996,106,67,7,0.1320754716981132,0.5522388059701493,106.0,440.0,0.5
Pink Sugar Aquolina (female) ~ 2004,https://www.fragrantica.com/perfume/Aquolina/Pink-Sugar-975.html,61,78,2004,107,139,-17,0.06738544474393532,0.43884892086330934,107.0,439.0,0.4268292682926829
Bois Doré Van Cleef & Arpels (unisex) ~ 2017,https://www.fragrantica.com/perfume/Van-Cleef-Arpels/Bois-Dore-44864.html,32,20,2017,108,52,12,0.14555256064690028,0.6153846153846154,108.0,438.0,0.5324675324675324
Ylang in Gold M. Micallef (female) ~ 2012,https://www.fragrantica.com/perfume/M-Micallef/Ylang-in-Gold-14409.html,30,16,2012,109,46,14,0.15094339622641512,0.6521739130434783,109.0,437.0,0.5492957746478874
Vanille Noire Yves Rocher (female) ~ 2010,https://www.fragrantica.com/perfume/Yves-Rocher/Vanille-Noire-9894.html,39,35,2010,110,74,4,0.12398921832884097,0.527027027027027,110.0,436.0,0.48484848484848486
Bentley for Men Intense Bentley (male) ~ 2013,https://www.fragrantica.com/perfume/Bentley/Bentley-for-Men-Intense-17666.html,40,39,2013,111,79,1,0.11590296495956874,0.5063291139240507,111.0,435.0,0.47115384615384615
This is Him Zadig & Voltaire (male) ~ 2016,https://www.fragrantica.com/perfume/Zadig-Voltaire/This-is-Him-39359.html,34,27,2016,112,61,7,0.1320754716981132,0.5573770491803278,112.0,434.0,0.5
Habit Rouge Eau de Toilette Guerlain (male) ~ 1965,https://www.fragrantica.com/perfume/Guerlain/Habit-Rouge-Eau-de-Toilette-16.html,37,35,1965,113,72,2,0.11859838274932614,0.5138888888888888,113.0,433.0,0.4742268041237113
Tobacco Collection Rich Warm Addictive Zara (male) ~ 2016,https://www.fragrantica.com/perfume/Zara/Tobacco-Collection-Rich-Warm-Addictive-40449.html,40,42,2016,114,82,-2,0.1078167115902965,0.4878048780487805,114.0,432.0,0.45794392523364486
Viva la Juicy Gold Couture Juicy Couture (female) ~ 2014,https://www.fragrantica.com/perfume/Juicy-Couture/Viva-la-Juicy-Gold-Couture-25753.html,34,30,2014,115,64,4,0.12398921832884097,0.53125,115.0,431.0,0.48314606741573035
Le Lion Eau de Parfum Chanel (unisex) ~ 2020,https://www.fragrantica.com/perfume/Chanel/Le-Lion-Eau-de-Parfum-61036.html,40,43,2020,116,83,-3,0.10512129380053908,0.4819277108433735,116.0,430.0,0.4537037037037037
Rochas Man Rochas (male) ~ 1999,https://www.fragrantica.com/perfume/Rochas/Rochas-Man-1426.html,40,43,1999,117,83,-3,0.10512129380053908,0.4819277108433735,117.0,429.0,0.4537037037037037
Memoirs Of A Trespasser Imaginary Authors (unisex) ~ 2012,https://www.fragrantica.com/perfume/Imaginary-Authors/Memoirs-Of-A-Trespasser-16545.html,32,27,2012,118,59,5,0.1266846361185984,0.5423728813559322,118.0,428.0,0.4880952380952381
Kenzo Jungle L'Elephant Kenzo (female) ~ 1996,https://www.fragrantica.com/perfume/Kenzo/Kenzo-Jungle-L-Elephant-70.html,42,48,1996,119,90,-6,0.09703504043126684,0.4666666666666667,119.0,427.0,0.4434782608695652
Vanilla Vibes Juliette Has A Gun (unisex) ~ 2019,https://www.fragrantica.com/perfume/Juliette-Has-A-Gun/Vanilla-Vibes-54878.html,40,44,2019,120,84,-4,0.10242587601078168,0.47619047619047616,120.0,426.0,0.44954128440366975
Psychedelic Love Initio Parfums Prives (unisex) ~ 2017,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Psychedelic-Love-45977.html,28,21,2017,121,49,7,0.1320754716981132,0.5714285714285714,121.0,425.0,0.5
