,fragrance_1,fragrance_2,type_similarity,occasion_similarity,season_similarity,audience_similarity
100,Bad Boy Cobalt Carolina Herrera 2022,Armani Code Absolu pour Homme Giorgio Armani 2019,0.661,0.807,0.756,0.981
101,Bad Boy Cobalt Carolina Herrera 2022,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.728,0.897,0.855,0.954
102,Bad Boy Cobalt Carolina Herrera 2022,Artisan Pure John Varvatos 2017,0.369,0.952,0.844,0.967
103,Bad Boy Cobalt Carolina Herrera 2022,Aventus Creed 2010,0.69,0.973,0.996,0.949
104,Bad Boy Cobalt Carolina Herrera 2022,Awake Akro 2018,0.422,0.94,0.806,0.784
105,Bentley for Men Absolute Bentley 2014,1 Million Elixir Paco Rabanne 2022,0.241,0.961,0.994,0.803
106,Bentley for Men Absolute Bentley 2014,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.385,0.971,0.987,0.797
107,Bentley for Men Absolute Bentley 2014,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.295,0.992,0.899,0.881
108,Bentley for Men Absolute Bentley 2014,Acqua di Giò Parfum Giorgio Armani 2023,0.181,0.811,0.63,0.958
109,Bentley for Men Absolute Bentley 2014,Althaïr Parfums de Marly 2023,0.305,0.985,0.989,0.879
110,Bentley for Men Absolute Bentley 2014,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.467,0.997,0.988,0.67
111,Bentley for Men Absolute Bentley 2014,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.301,0.865,0.694,0.905
112,Bentley for Men Absolute Bentley 2014,Angels' Share Kilian 2020,0.404,0.952,0.984,0.803
113,Bentley for Men Absolute Bentley 2014,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.191,0.742,0.509,0.928
114,Bentley for Men Absolute Bentley 2014,Armani Code Absolu pour Homme Giorgio Armani 2019,0.359,0.984,0.999,0.896
115,Bentley for Men Absolute Bentley 2014,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.496,0.985,0.979,0.945
116,Bentley for Men Absolute Bentley 2014,Artisan Pure John Varvatos 2017,0.152,0.7,0.31,0.923
117,Bentley for Men Absolute Bentley 2014,Aventus Creed 2010,0.451,0.928,0.728,0.946
118,Bentley for Men Absolute Bentley 2014,Awake Akro 2018,0.453,0.962,0.994,0.818
119,Bentley for Men Absolute Bentley 2014,Bad Boy Cobalt Carolina Herrera 2022,0.308,0.873,0.741,0.81
120,Bergamote 22 Le Labo 2006 EAU DE PARFUM,1 Million Elixir Paco Rabanne 2022,0.138,0.522,0.509,0.851
121,Bergamote 22 Le Labo 2006 EAU DE PARFUM,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.14,0.561,0.578,0.829
122,Bergamote 22 Le Labo 2006 EAU DE PARFUM,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.426,0.658,0.748,0.83
123,Bergamote 22 Le Labo 2006 EAU DE PARFUM,Acqua di Giò Parfum Giorgio Armani 2023,0.683,0.982,0.967,0.796
124,Bergamote 22 Le Labo 2006 EAU DE PARFUM,Althaïr Parfums de Marly 2023,0.092,0.604,0.317,0.972
125,Bergamote 22 Le Labo 2006 EAU DE PARFUM,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.219,0.748,0.563,0.962
126,Bergamote 22 Le Labo 2006 EAU DE PARFUM,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.663,0.96,0.949,0.925
127,Bergamote 22 Le Labo 2006 EAU DE PARFUM,Angels' Share Kilian 2020,0.122,0.483,0.295,0.996
128,Bergamote 22 Le Labo 2006 EAU DE PARFUM,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.7,0.993,0.997,0.852
129,Bergamote 22 Le Labo 2006 EAU DE PARFUM,Armani Code Absolu pour Homme Giorgio Armani 2019,0.129,0.598,0.475,0.852
130,Bergamote 22 Le Labo 2006 EAU DE PARFUM,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.432,0.764,0.607,0.856
131,Bergamote 22 Le Labo 2006 EAU DE PARFUM,Artisan Pure John Varvatos 2017,0.925,0.994,0.986,0.895
132,Bergamote 22 Le Labo 2006 EAU DE PARFUM,Aventus Creed 2010,0.761,0.904,0.935,0.807
133,Bergamote 22 Le Labo 2006 EAU DE PARFUM,Awake Akro 2018,0.313,0.831,0.536,0.995
134,Bergamote 22 Le Labo 2006 EAU DE PARFUM,Bad Boy Cobalt Carolina Herrera 2022,0.433,0.941,0.918,0.814
135,Bergamote 22 Le Labo 2006 EAU DE PARFUM,Bentley for Men Absolute Bentley 2014,0.188,0.705,0.446,0.81
136,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,1 Million Elixir Paco Rabanne 2022,0.26,0.706,0.777,0.952
137,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.304,0.742,0.824,0.953
138,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.493,0.819,0.926,0.981
139,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,Acqua di Giò Parfum Giorgio Armani 2023,0.818,0.995,0.99,0.986
140,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,Althaïr Parfums de Marly 2023,0.193,0.778,0.628,0.912
141,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.326,0.884,0.813,0.618
142,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.726,0.998,0.997,0.968
143,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,Angels' Share Kilian 2020,0.257,0.676,0.608,0.777
144,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.837,0.968,0.957,0.996
