link,upvotes,downvotes,inverse_rank,order,name
https://www.fragrantica.com/perfume/Ralph-Lauren/Polo-890.html,785.0,515.0,5656.0,746.0,Polo Ralph Lauren (male) ~ 1978
https://www.fragrantica.com/perfume/Tauer-Perfumes/02-L-Air-du-Desert-Marocain-4573.html,1301.0,513.0,5996.0,406.0,02 L'Air du Desert Marocain Tauer Perfumes (unisex) ~ 2005
https://www.fragrantica.com/perfume/Van-Cleef-Arpels/Midnight-in-Paris-9685.html,447.0,278.0,5137.0,1265.0,Midnight in Paris Van Cleef & Arpels (male) ~ 2010
https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Opium-Pour-Homme-562.html,783.0,415.0,5675.0,727.0,Opium Pour Homme Yves Saint Laurent (male) ~ 1995
https://www.fragrantica.com/perfume/Valentino/Valentino-Uomo-Intense-38254.html,1171.0,587.0,5676.0,726.0,Valentino Uomo Intense Valentino (male) ~ 2016
https://www.fragrantica.com/perfume/Hugo-Boss/Boss-Bottled-383.html,703.0,499.0,5032.0,650.0,Boss Bottled Hugo Boss (male) ~ 1998
https://www.fragrantica.com/perfume/Valentino/Valentino-Uomo-19558.html,676.0,389.0,5630.0,772.0,Valentino Uomo Valentino (male) ~ 2014
https://www.fragrantica.com/perfume/Bvlgari/Aqva-Pour-Homme-153.html,745.0,535.0,5628.0,774.0,Aqva Pour Homme Bvlgari (male) ~ 2005
https://www.fragrantica.com/perfume/Guy-Laroche/Drakkar-Noir-2069.html,895.0,589.0,5170.0,512.0,Drakkar Noir Guy Laroche (male) ~ 1982
https://www.fragrantica.com/perfume/Dolce-Gabbana/Dolce-Gabbana-pour-Homme-1994-483.html,812.0,443.0,5769.0,633.0,Dolce&Gabbana pour Homme (1994) Dolce&Gabbana (male) ~ 1994
https://www.fragrantica.com/perfume/Mugler/Mugler-Cologne-708.html,414.0,188.0,5151.0,1251.0,Mugler Cologne Mugler (unisex) ~ 2001
https://www.fragrantica.com/perfume/Guerlain/L-Homme-Ideal-25780.html,924.0,523.0,5823.0,579.0,L’Homme Ideal Guerlain (male) ~ 2014
https://www.fragrantica.com/perfume/Azzaro/Azzaro-pour-Homme-829.html,722.0,442.0,5660.0,742.0,Azzaro pour Homme Azzaro (male) ~ 1978
https://www.fragrantica.com/perfume/Amouage/Interlude-Man-15294.html,1056.0,629.0,5905.0,497.0,Interlude Man Amouage (male) ~ 2012
https://www.fragrantica.com/perfume/Kenzo/Kenzo-pour-Homme-77.html,470.0,405.0,5106.0,1296.0,Kenzo pour Homme Kenzo (male) ~ 1991
https://www.fragrantica.com/perfume/Chanel/Allure-Homme-Sport-Eau-Extreme-14669.html,2966.0,1549.0,6222.0,180.0,Allure Homme Sport Eau Extreme Chanel (male) ~ 2012
