fragrance_1,fragrance_2,type_similarity,occasion_similarity,season_similarity,audience_similarity,total_similarity
Bergamote 22 Le Labo 2006 EAU DE PARFUM,Awake Akro 2018,0.313,0.831,0.536,0.995,-0.097
Bergamote 22 Le Labo 2006 EAU DE PARFUM,Bad Boy Cobalt Carolina Herrera 2022,0.433,0.941,0.918,0.814,0.04
Bergamote 22 Le Labo 2006 EAU DE PARFUM,Bentley for Men Absolute Bentley 2014,0.188,0.705,0.446,0.81,-0.427
Bleu de Chanel Chanel 2010 EAU DE TOILETTE,1 Million Elixir Paco Rabanne 2022,0.26,0.706,0.777,0.952,-0.489
Bleu de Chanel Chanel 2010 EAU DE TOILETTE,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.304,0.742,0.824,0.953,-0.403
Bleu de Chanel Chanel 2010 EAU DE TOILETTE,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.493,0.819,0.926,0.981,-0.23
Bleu de Chanel Chanel 2010 EAU DE TOILETTE,Acqua di Giò Parfum Giorgio Armani 2023,0.818,0.995,0.99,0.986,0.665
Bleu de Chanel Chanel 2010 EAU DE TOILETTE,Althaïr Parfums de Marly 2023,0.193,0.78,0.629,0.912,-0.571
Bleu de Chanel Chanel 2010 EAU DE TOILETTE,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.326,0.884,0.813,0.618,-0.627
Bleu de Chanel Chanel 2010 EAU DE TOILETTE,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.727,0.998,0.997,0.968,0.267
Bleu de Chanel Chanel 2010 EAU DE TOILETTE,Angels' Share Kilian 2020,0.257,0.676,0.608,0.777,-0.617
Bleu de Chanel Chanel 2010 EAU DE TOILETTE,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.837,0.968,0.957,0.996,0.692
Bleu de Chanel Chanel 2010 EAU DE TOILETTE,Armani Code Absolu pour Homme Giorgio Armani 2019,0.279,0.776,0.75,0.989,-0.454
Bleu de Chanel Chanel 2010 EAU DE TOILETTE,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.605,0.904,0.845,0.995,-0.066
Bleu de Chanel Chanel 2010 EAU DE TOILETTE,Artisan Pure John Varvatos 2017,0.829,0.949,0.868,0.985,0.512
Bleu de Chanel Chanel 2010 EAU DE TOILETTE,Aventus Creed 2010,0.804,0.981,1.0,0.999,0.484
Bleu de Chanel Chanel 2010 EAU DE TOILETTE,Awake Akro 2018,0.391,0.92,0.797,0.79,-0.491
Bleu de Chanel Chanel 2010 EAU DE TOILETTE,Bad Boy Cobalt Carolina Herrera 2022,0.627,0.968,0.996,0.962,0.22
Bleu de Chanel Chanel 2010 EAU DE TOILETTE,Bentley for Men Absolute Bentley 2014,0.371,0.853,0.731,0.931,-0.205
Bleu de Chanel Chanel 2010 EAU DE TOILETTE,Bergamote 22 Le Labo 2006 EAU DE PARFUM,0.852,0.963,0.933,0.807,0.4
Bon Monsieur Rogue 2020,1 Million Elixir Paco Rabanne 2022,0.222,0.782,0.804,0.819,-0.386
Bon Monsieur Rogue 2020,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.234,0.812,0.841,0.807,-0.456
Bon Monsieur Rogue 2020,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.502,0.879,0.948,0.857,-0.005
Bon Monsieur Rogue 2020,Acqua di Giò Parfum Giorgio Armani 2023,0.518,0.979,0.983,0.961,0.166
Bon Monsieur Rogue 2020,Althaïr Parfums de Marly 2023,0.197,0.843,0.655,0.921,-0.254
Bon Monsieur Rogue 2020,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.354,0.932,0.837,0.737,-0.128
Bon Monsieur Rogue 2020,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.586,0.995,0.995,0.917,0.02
Bon Monsieur Rogue 2020,Angels' Share Kilian 2020,0.263,0.754,0.633,0.859,-0.224
Bon Monsieur Rogue 2020,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.52,0.948,0.94,0.922,0.059
Bon Monsieur Rogue 2020,Armani Code Absolu pour Homme Giorgio Armani 2019,0.229,0.84,0.771,0.887,-0.419
Bon Monsieur Rogue 2020,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.465,0.941,0.867,0.934,-0.294
Bon Monsieur Rogue 2020,Artisan Pure John Varvatos 2017,0.605,0.928,0.838,0.933,0.19
Bon Monsieur Rogue 2020,Aventus Creed 2010,0.482,0.994,0.997,0.937,-0.065
Bon Monsieur Rogue 2020,Awake Akro 2018,0.449,0.957,0.82,0.872,0.011
Bon Monsieur Rogue 2020,Bad Boy Cobalt Carolina Herrera 2022,0.384,0.981,1.0,0.822,-0.245
Bon Monsieur Rogue 2020,Bentley for Men Absolute Bentley 2014,0.406,0.906,0.756,0.981,0.054
Bon Monsieur Rogue 2020,Bergamote 22 Le Labo 2006 EAU DE PARFUM,0.646,0.936,0.913,0.854,0.189
Bon Monsieur Rogue 2020,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,0.596,0.991,0.997,0.919,0.009
Boss Bottled Elixir Hugo Boss 2023,1 Million Elixir Paco Rabanne 2022,0.44,0.977,0.989,0.875,0.09
Boss Bottled Elixir Hugo Boss 2023,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.599,0.984,0.973,0.869,0.199
Boss Bottled Elixir Hugo Boss 2023,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.498,0.998,0.877,0.917,0.015
Boss Bottled Elixir Hugo Boss 2023,Acqua di Giò Parfum Giorgio Armani 2023,0.179,0.773,0.574,0.991,-0.331
Boss Bottled Elixir Hugo Boss 2023,Althaïr Parfums de Marly 2023,0.469,0.992,0.994,0.921,0.218
Boss Bottled Elixir Hugo Boss 2023,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.625,0.991,0.979,0.681,0.288
Boss Bottled Elixir Hugo Boss 2023,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.412,0.837,0.645,0.945,-0.556
Boss Bottled Elixir Hugo Boss 2023,Angels' Share Kilian 2020,0.57,0.97,0.989,0.825,0.323
Boss Bottled Elixir Hugo Boss 2023,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.18,0.705,0.448,0.965,-0.489
Boss Bottled Elixir Hugo Boss 2023,Armani Code Absolu pour Homme Giorgio Armani 2019,0.547,0.993,0.992,0.938,0.217
